 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.100000001    
 lde =        0.00000000    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =         9.99999978E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            2000
 Myseed =         84563
 nmap =              50
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
   855 15338  4425  3327  1163    50  0.023 0.072 0.906 0.019 0.068 0.913
   860 15161  4402  3384  1052    50  0.023 0.071 0.906 0.019 0.067 0.914
   865 15376  4399  3350  1148    50  0.022 0.071 0.907 0.019 0.067 0.914
   870 15362  4404  3353  1058    50  0.022 0.071 0.907 0.019 0.067 0.915
   875 15006  4438  3271  1012    50  0.023 0.071 0.907 0.019 0.066 0.915
   880 14660  4311  3215  1041    50  0.022 0.070 0.907 0.019 0.066 0.916
   885 14229  4163  3101   980    50  0.023 0.070 0.907 0.018 0.066 0.916
   890 14169  4154  3157  1037    50  0.022 0.070 0.908 0.019 0.066 0.916
   895 14159  4020  3067   984    50  0.022 0.070 0.908 0.019 0.065 0.916
   900 14484  4147  3152   992    50  0.023 0.069 0.908 0.019 0.065 0.916
   905 14420  4117  3135  1016    50  0.023 0.069 0.908 0.019 0.064 0.917
   910 14089  4010  3137   984    50  0.023 0.069 0.909 0.019 0.064 0.917
   915 13721  4063  3032   911    50  0.023 0.069 0.909 0.019 0.064 0.918
   920 13932  4122  3086   967    50  0.023 0.068 0.909 0.019 0.064 0.917
   925 13775  4031  3024   933    50  0.023 0.068 0.909 0.019 0.064 0.918
   930 13339  3922  2994   893    50  0.023 0.068 0.909 0.019 0.064 0.918
   935 13187  3825  2999   869    50  0.023 0.068 0.910 0.019 0.064 0.917
   940 13306  3910  2975   872    50  0.023 0.067 0.910 0.019 0.063 0.918
   945 13273  3977  2997   886    50  0.023 0.067 0.910 0.019 0.063 0.918
   950 13154  3763  2976   891    50  0.023 0.067 0.910 0.019 0.062 0.919
   955 12938  3785  2766   810    50  0.023 0.067 0.910 0.019 0.062 0.919
   960 12834  3668  2905   833    50  0.023 0.066 0.910 0.019 0.062 0.919
   965 12856  3570  2933   895    50  0.023 0.066 0.911 0.019 0.062 0.919
   970 13084  3709  2887   859    50  0.023 0.066 0.911 0.020 0.061 0.919
   975 13087  3840  2945   848    50  0.023 0.066 0.911 0.020 0.061 0.919
   980 12738  3831  2897   837    50  0.023 0.066 0.912 0.019 0.061 0.919
   985 12500  3554  2834   773    50  0.023 0.066 0.912 0.019 0.061 0.920
   990 12462  3733  2826   812    50  0.023 0.065 0.912 0.019 0.061 0.920
   995 12520  3633  2903   807    50  0.023 0.065 0.912 0.019 0.061 0.919
  1000 12356  3573  2832   780    50  0.022 0.065 0.912 0.019 0.061 0.920
  1005 12417  3526  2874   778    50  0.023 0.065 0.912 0.019 0.061 0.920
  1010 12233  3611  2746   769    50  0.023 0.065 0.912 0.019 0.061 0.920
  1015 12114  3433  2788   743    50  0.022 0.065 0.913 0.019 0.061 0.920
  1020 11871  3568  2717   682    50  0.023 0.064 0.913 0.019 0.060 0.921
  1025 11808  3377  2653   725    50  0.023 0.064 0.913 0.019 0.061 0.920
  1030 11547  3351  2557   718    50  0.023 0.064 0.914 0.019 0.061 0.921
  1035 11431  3425  2638   695    50  0.023 0.064 0.913 0.019 0.060 0.921
  1040 11514  3262  2633   692    50  0.023 0.064 0.913 0.019 0.060 0.921
  1045 11440  3268  2630   707    50  0.023 0.064 0.913 0.019 0.060 0.921
  1050 10968  3285  2546   631    50  0.023 0.064 0.914 0.019 0.060 0.921
  1055 10824  3108  2480   672    50  0.023 0.063 0.914 0.019 0.060 0.921
  1060 10900  3139  2547   645    50  0.023 0.063 0.914 0.019 0.060 0.921
  1065 11040  3148  2627   686    50  0.023 0.063 0.914 0.019 0.060 0.921
  1070 11017  3198  2553   669    50  0.022 0.064 0.914 0.019 0.059 0.922
  1075 11049  3121  2581   637    50  0.022 0.063 0.914 0.019 0.059 0.922
  1080 10832  3155  2489   639    50  0.022 0.063 0.915 0.019 0.059 0.922
  1085 10834  3057  2467   683    50  0.022 0.063 0.915 0.019 0.059 0.922
  1090 10923  3031  2570   664    50  0.022 0.063 0.915 0.019 0.059 0.922
  1095 10820  3139  2416   620    50  0.022 0.063 0.915 0.018 0.059 0.923
  1100 10843  3134  2494   600    50  0.022 0.063 0.914 0.018 0.058 0.924
  1105 10527  3065  2396   642    50  0.022 0.063 0.915 0.019 0.058 0.923
  1110 10432  3183  2527   595    50  0.022 0.063 0.915 0.019 0.058 0.923
  1115 10502  3059  2414   613    49  0.022 0.063 0.915 0.019 0.058 0.923
