trt,gen,zero1,lt151,gt151,zero2,lt152,gt152,tot1,spo1,veg1,mat1,tot2,spo2,veg2,mat2
temp_ubeta_1_0.800,375,55537,0,34461,64462,0,25536,34460,0,0,34440,25536,0,0,25534
temp_ubeta_1_1.000,375,66184,0,23814,71378,0,18620,23814,0,0,23776,18620,0,0,18608
temp_ubeta_1_1.250,375,77194,0,12804,79277,0,10721,12804,0,0,12765,10721,0,0,10720
temp_ubeta_1_1.500,375,82392,0,7606,83378,0,6620,7606,0,0,7534,6620,0,0,6620
temp_ubeta_1_2.000,375,89141,0,857,89202,0,796,857,0,0,840,796,0,0,796
temp_lbeta_1_0.500,400,10606,22005,57387,40147,507,49344,79392,49,33209,15206,49851,1,682,48304
temp_lbeta_1_0.667,400,11428,22530,56040,40691,543,48764,78570,20,42079,14988,49307,0,952,47709
temp_lbeta_1_0.800,400,12067,18002,59929,41016,390,48592,77931,2,46696,14902,48982,0,1017,47477
temp_lbeta_1_1.000,400,13804,13912,62282,41830,353,47815,76194,0,50574,14506,48168,0,1394,46302
temp_lbeta_1_1.250,400,16657,16819,56522,43156,482,46360,73340,0,52291,14047,46842,0,1730,44739
temp_lbeta_1_1.500,400,24103,10072,55823,46820,552,42626,65895,0,41960,18580,43178,0,2500,40242
temp_lbeta_1_2.000,400,37757,5666,46575,54185,485,35328,52241,0,29569,19331,35810,0,3247,32074
temp_ubeta_1_0.500,400,35975,0,54023,53342,0,36656,54023,0,0,54023,36656,0,0,36656
temp_ubeta_1_0.667,400,47719,0,42279,59847,0,30151,42279,0,0,42273,30149,0,0,30145
temp_ubeta_1_0.800,400,55667,0,34331,64603,0,25395,34331,0,0,34316,25395,0,0,25390
temp_ubeta_1_1.000,400,66285,0,23713,71577,0,18421,23713,0,0,23689,18421,0,0,18421
temp_ubeta_1_1.250,400,77411,0,12587,79558,0,10440,12587,0,0,12556,10440,0,0,10440
temp_ubeta_1_1.500,400,83641,0,6357,84429,0,5569,6357,0,0,6291,5569,0,0,5569
temp_ubeta_1_2.000,400,89432,0,566,89472,0,526,566,0,0,566,526,0,0,526
