trt,gen,zero1,lt151,gt151,zero2,lt152,gt152,tot1,spo1,veg1,mat1,tot2,spo2,veg2,mat2
temp_link_3_0.70,500,13946,52011,24041,43080,32189,14729,76052,703,48790,98,46918,396,27449,86
temp_link_3_0.90,500,13781,67457,8760,42962,41484,5552,76215,875,49249,153,47036,602,27486,158
temp_unlink_0_0.10,500,66862,2079,21057,72079,1823,16096,23136,0,0,23112,17919,0,0,17918
temp_unlink_0_0.30,500,67073,3914,19011,71968,2852,15178,22925,0,0,22891,18030,0,0,18010
temp_unlink_0_0.50,500,66055,3790,20153,71417,3002,15579,23943,0,0,23907,18581,0,0,18579
temp_unlink_0_0.70,500,67546,4664,17788,72370,3555,14073,22452,0,0,22437,17628,0,0,17628
temp_unlink_0_0.90,500,67243,7677,15078,72222,6134,11642,22755,0,0,22742,17776,0,0,17775
temp_unlink_1_0.10,500,66515,0,23483,71601,0,18397,23483,0,0,23474,18397,0,0,18394
temp_unlink_1_0.30,500,66672,0,23326,71759,0,18239,23326,0,0,23309,18239,0,0,18236
temp_unlink_1_0.50,500,66568,0,23430,71537,5,18456,23430,0,0,23403,18461,0,0,18455
temp_unlink_1_0.70,500,66730,0,23268,71792,0,18206,23268,0,0,23253,18206,0,0,18202
temp_unlink_1_0.90,500,66466,4656,18876,71578,646,17774,23532,0,0,23492,18420,0,0,18414
temp_unlink_2_0.10,500,66382,0,23616,71596,0,18402,23616,0,0,23574,18402,0,0,18401
temp_unlink_2_0.30,500,66164,0,23834,71376,0,18622,23834,0,0,23822,18622,0,0,18621
temp_unlink_2_0.50,500,66296,0,23702,71580,0,18418,23702,0,0,23691,18418,0,0,18418
temp_unlink_2_0.70,500,67012,0,22986,72056,0,17942,22986,0,0,22968,17942,0,0,17942
temp_unlink_2_0.90,500,18898,50875,20225,45331,29580,15087,71100,0,7922,0,44667,0,3555,0
temp_unlink_3_0.10,500,14203,9688,66107,43142,5913,40943,75795,0,63366,0,46856,0,37229,0
temp_unlink_3_0.30,500,14062,24053,51883,43110,15023,31865,75936,0,63611,0,46888,0,37971,0
temp_unlink_3_0.50,500,14471,38919,36608,43375,24056,22567,75527,0,61221,0,46623,0,35597,0
temp_unlink_3_0.70,500,14505,51580,23913,43206,31875,14917,75493,0,61310,0,46792,0,35972,0
temp_unlink_3_0.90,500,14619,65631,9748,43516,40403,6079,75379,0,60123,0,46482,0,35075,0
temp_link_0_0.10,525,13812,12463,63723,41903,398,47697,76186,0,50774,14389,48095,0,1355,46296
temp_link_0_0.30,525,13890,36184,39924,41886,1060,47052,76108,0,50711,14401,48112,0,1441,46277
temp_link_0_0.50,525,13982,56707,19309,41936,1753,46309,76016,0,50461,14430,48062,0,1468,46093
temp_link_0_0.70,525,13859,60755,15384,41864,1639,46495,76139,0,50917,14411,48134,0,1310,46457
temp_link_0_0.90,525,14142,61347,14509,42117,1876,46005,75856,0,50522,14509,47881,0,1451,46005
temp_link_1_0.10,525,13923,17926,58149,41725,500,47773,76075,0,50705,14139,48273,0,1400,46419
temp_link_1_0.30,525,13625,42336,34037,41580,1161,47257,76373,0,51296,14422,48418,0,1395,46663
temp_link_1_0.50,525,13853,56603,19542,41969,1522,46507,76145,0,51173,14523,48029,0,1388,46307
temp_link_1_0.70,525,13780,61581,14637,41744,1964,46290,76218,0,50892,14388,48254,0,1496,46279
temp_link_1_0.90,525,13633,61977,14388,41668,1915,46415,76365,0,51304,14388,48330,0,1488,46415
temp_link_2_0.10,525,23000,12838,54160,46217,1304,42477,66998,0,29723,28107,43781,0,3158,39447
temp_link_2_0.30,525,20908,27871,41219,45227,5424,39347,69090,1,32393,26659,44771,0,6184,36244
temp_link_2_0.50,525,18027,41195,30776,44046,12613,33339,71971,1,37063,23299,45952,0,11224,30545
temp_link_2_0.70,525,15501,55280,19217,43425,26093,20480,74497,20,43012,15576,46573,9,19364,18490
temp_link_2_0.90,525,13839,67086,9073,42797,38899,8302,76159,516,47815,2743,47201,300,25728,2990
temp_link_3_0.10,525,13898,9765,66335,43100,5966,40932,76100,735,48851,141,46898,492,26852,135
temp_link_3_0.30,525,13880,24249,51869,42924,14906,32168,76118,759,49116,191,47074,487,27716,138
temp_link_3_0.50,525,13809,38377,37812,42814,23734,23450,76189,891,48681,170,47184,544,27413,131
temp_link_3_0.70,525,13830,52434,23734,43103,32183,14712,76168,750,48983,139,46895,464,27628,124
temp_link_3_0.90,525,13839,67214,8945,42910,41485,5603,76159,892,48952,136,47088,559,27432,95
temp_unlink_0_0.10,525,66649,2266,21083,71845,1789,16364,23349,0,0,23303,18153,0,0,18148
temp_unlink_0_0.30,525,66972,3583,19443,72025,2658,15315,23026,0,0,23008,17973,0,0,17967
temp_unlink_0_0.50,525,66659,3714,19625,71799,2805,15394,23339,0,0,23282,18199,0,0,18191
temp_unlink_0_0.70,525,66919,4440,18639,71962,3384,14652,23079,0,0,23041,18036,0,0,18036
temp_unlink_0_0.90,525,66939,7490,15569,72111,6222,11665,23058,0,0,23035,17887,0,0,17886
temp_unlink_1_0.10,525,66410,0,23588,71455,0,18543,23588,0,0,23574,18543,0,0,18541
temp_unlink_1_0.30,525,66880,0,23118,71944,0,18054,23118,0,0,23099,18054,0,0,18054
temp_unlink_1_0.50,525,67018,0,22980,71986,0,18012,22980,0,0,22963,18012,0,0,18011
temp_unlink_1_0.70,525,66649,0,23349,71719,0,18279,23349,0,0,23327,18279,0,0,18278
temp_unlink_1_0.90,525,65920,5173,18905,71171,846,17981,24078,0,0,24029,18827,0,0,18825
temp_unlink_2_0.10,525,65947,0,24051,71208,0,18790,24051,0,0,24022,18790,0,0,18784
temp_unlink_2_0.30,525,65658,0,24340,71101,0,18897,24340,0,0,24319,18897,0,0,18897
temp_unlink_2_0.50,525,66013,0,23985,71331,0,18667,23985,0,0,23967,18667,0,0,18663
temp_unlink_2_0.70,525,67017,0,22981,72016,0,17982,22981,0,0,22971,17982,0,0,17977
temp_unlink_2_0.90,525,19050,51175,19773,45558,29310,15130,70948,0,7900,0,44440,0,3592,0
temp_unlink_3_0.10,525,13875,9503,66620,42827,5764,41407,76123,0,65979,0,47171,0,39204,0
temp_unlink_3_0.30,525,13766,23679,52553,42925,14754,32319,76232,0,66304,0,47073,0,39697,0
temp_unlink_3_0.50,525,14038,38989,36971,42954,24294,22750,75960,0,64821,0,47044,0,38431,0
temp_unlink_3_0.70,525,14200,51922,23876,43127,31927,14944,75798,0,64814,0,46871,0,38490,0
temp_unlink_3_0.90,525,14202,65998,9798,43058,40862,6078,75796,0,63518,0,46940,0,37647,0
temp_link_0_0.10,550,13616,13142,63240,41764,298,47936,76380,0,50721,14306,48234,0,1364,46447
temp_link_0_0.30,550,13815,35446,40737,41666,1117,47215,76183,0,51206,14274,48332,0,1471,46422
temp_link_0_0.50,550,14034,56238,19726,42050,1764,46184,75963,0,50150,14513,47948,0,1504,45988
temp_link_0_0.70,550,13875,61008,15115,41750,1704,46544,76122,0,50970,14331,48248,0,1353,46516
temp_link_0_0.90,550,14085,61547,14366,42057,1715,46226,75913,0,50800,14366,47941,0,1364,46226
temp_link_1_0.10,550,14026,16663,59309,41902,420,47676,75972,0,50524,14274,48096,0,1395,46298
temp_link_1_0.30,550,13845,41868,34285,41895,1147,46956,76152,0,50945,14473,48103,0,1422,46314
temp_link_1_0.50,550,13764,56431,19803,41768,1614,46616,76234,0,51268,14437,48230,0,1426,46390
temp_link_1_0.70,550,13988,61312,14698,42008,1763,46227,76010,0,50787,14404,47990,0,1369,46221
temp_link_1_0.90,550,13997,61449,14552,42030,1874,46094,76001,0,50591,14552,47968,0,1444,46094
temp_link_2_0.10,550,23114,12592,54292,46469,1224,42305,66884,0,29708,27828,43525,0,3025,39282
temp_link_2_0.30,550,20558,28020,41420,45050,5423,39525,69440,0,32632,26612,44948,0,6445,36188
temp_link_2_0.50,550,18003,41243,30752,44096,12964,32938,71995,8,37130,23532,45894,0,11407,30332
temp_link_2_0.70,550,15384,54740,19874,43171,25476,21351,74614,28,42486,15991,46827,17,18983,19204
temp_link_2_0.90,550,14208,66663,9127,43114,38498,8386,75790,420,47025,2757,46884,259,25426,2981
temp_link_3_0.10,550,13940,9800,66258,43140,6179,40679,76058,674,48576,140,46858,431,27589,107
temp_link_3_0.30,550,14086,24120,51792,43093,14741,32164,75912,783,49146,223,46905,480,27466,185
temp_link_3_0.50,550,13941,38508,37549,42806,23766,23426,76057,894,48690,123,47192,563,27221,92
temp_link_3_0.70,550,13906,52233,23859,42722,32345,14931,76092,699,48824,173,47276,494,27295,124
temp_link_3_0.90,550,13844,66591,9563,42989,41112,5897,76154,876,49391,105,47008,513,27788,127
temp_unlink_0_0.10,550,66325,2274,21399,71580,1637,16781,23673,0,0,23635,18418,0,0,18415
temp_unlink_0_0.30,550,66348,3521,20129,71564,2667,15767,23650,0,0,23635,18434,0,0,18420
temp_unlink_0_0.50,550,66282,3798,19918,71575,2755,15668,23716,0,0,23698,18423,0,0,18414
temp_unlink_0_0.70,550,67214,4524,18260,72160,3399,14439,22784,0,0,22755,17838,0,0,17838
temp_unlink_0_0.90,550,67133,7376,15489,72065,6410,11523,22865,0,0,22852,17933,0,0,17931
temp_unlink_1_0.10,550,65724,0,24274,71045,0,18953,24274,0,0,24248,18953,0,0,18953
temp_unlink_1_0.30,550,66528,0,23470,71671,0,18327,23470,0,0,23444,18327,0,0,18326
temp_unlink_1_0.50,550,67056,0,22942,72141,0,17857,22942,0,0,22935,17857,0,0,17855
temp_unlink_1_0.70,550,66878,0,23120,71785,0,18213,23120,0,0,23095,18213,0,0,18209
temp_unlink_1_0.90,550,66536,5082,18380,71787,878,17333,23462,0,0,23447,18211,0,0,18211
temp_unlink_2_0.10,550,66077,0,23921,71416,0,18582,23921,0,0,23911,18568,0,0,18580
temp_unlink_2_0.30,550,66780,0,23218,71982,0,18016,23218,0,0,23200,18016,0,0,18014
temp_unlink_2_0.50,550,66033,0,23965,71345,0,18653,23965,0,0,23935,18653,0,0,18645
temp_unlink_2_0.70,550,66562,0,23436,71621,0,18377,23436,0,0,23425,18377,0,0,18376
temp_unlink_2_0.90,550,18837,51357,19804,45388,29665,14945,71160,0,8279,0,44610,0,3884,0
temp_unlink_3_0.10,550,13942,9893,66163,43023,6048,40927,76056,0,67659,0,46975,0,40615,0
temp_unlink_3_0.30,550,13818,24531,51649,42604,15452,31942,76180,0,68282,0,47394,0,41181,0
temp_unlink_3_0.50,550,13952,38626,37420,43084,23950,22964,76046,0,67022,0,46914,0,40198,0
temp_unlink_3_0.70,550,13818,52109,24071,43013,31984,15001,76180,0,67241,0,46985,0,40128,0
temp_unlink_3_0.90,550,13904,66786,9308,42957,41523,5518,76094,0,66151,0,47041,0,39840,0
temp_link_0_0.10,575,13974,12567,63457,42000,376,47622,76023,0,50427,14450,47998,0,1374,46135
temp_link_0_0.30,575,13739,34979,41280,41872,923,47203,76259,0,51177,14525,48126,0,1307,46440
temp_link_0_0.50,575,13841,55978,20179,41701,1609,46688,76157,0,51506,14314,48297,0,1341,46536
temp_link_0_0.70,575,13939,60585,15474,41746,1797,46455,76059,0,50565,14548,48252,0,1447,46407
temp_link_0_0.90,575,13627,62172,14199,41532,1807,46659,76371,2,51377,14199,48466,0,1398,46659
temp_link_1_0.10,575,14129,17185,58684,42006,462,47530,75869,0,50191,14391,47992,0,1437,46084
temp_link_1_0.30,575,13963,41616,34419,41986,1115,46897,76035,0,50895,14422,48012,0,1381,46239
temp_link_1_0.50,575,13782,56013,20203,41737,1515,46746,76216,0,50969,14291,48261,0,1356,46523
temp_link_1_0.70,575,13637,61371,14990,41905,1770,46323,76361,0,50696,14591,48093,0,1444,46305
temp_link_1_0.90,575,13706,61872,14420,41813,1818,46367,76291,0,51282,14420,48185,0,1442,46367
temp_link_2_0.10,575,23647,11854,54497,46751,1179,42068,66351,0,29041,28169,43247,0,2865,39193
temp_link_2_0.30,575,20636,27556,41806,45049,5363,39586,69360,2,32410,26986,44948,0,6248,36484
temp_link_2_0.50,575,17939,41286,30773,43993,13192,32813,72059,2,37053,23369,46005,0,11552,30241
temp_link_2_0.70,575,15417,54807,19774,43262,25194,21542,74581,47,42987,15970,46736,14,18785,19397
temp_link_2_0.90,575,14247,66403,9348,43168,38320,8510,75751,394,47251,2807,46829,212,25638,2949
temp_link_3_0.10,575,13832,10077,66089,42864,6132,41002,76166,550,49076,144,47134,333,27809,125
temp_link_3_0.30,575,14143,23937,51918,43095,14913,31990,75855,728,49589,152,46903,455,27838,157
temp_link_3_0.50,575,14052,39050,36896,43024,23964,23010,75946,853,48778,203,46974,552,27373,142
temp_link_3_0.70,575,14039,51783,24176,43108,32131,14759,75959,672,48475,142,46890,429,27116,124
temp_link_3_0.90,575,13844,66446,9708,42920,41123,5955,76154,893,48912,122,47078,504,27653,87
temp_unlink_0_0.10,575,66722,1939,21337,71827,1594,16577,23276,0,0,23252,18171,0,0,18169
temp_unlink_0_0.30,575,66670,3204,20124,71738,2312,15948,23328,0,0,23282,18260,0,0,18254
temp_unlink_0_0.50,575,66781,3837,19380,72041,2728,15229,23217,0,0,23191,17957,0,0,17949
temp_unlink_0_0.70,575,67231,4278,18489,72103,3315,14580,22767,0,0,22745,17895,0,0,17892
temp_unlink_0_0.90,575,66983,7685,15330,72063,6088,11847,23015,0,0,23000,17935,0,0,17935
temp_unlink_1_0.10,575,66542,0,23456,71586,0,18412,23456,0,0,23442,18412,0,0,18412
temp_unlink_1_0.30,575,66798,0,23200,71967,0,18031,23200,0,0,23161,18031,0,0,18031
temp_unlink_1_0.50,575,67057,0,22941,72110,0,17888,22941,0,0,22928,17888,0,0,17887
temp_unlink_1_0.70,575,66590,0,23408,71685,0,18313,23408,0,0,23398,18313,0,0,18307
temp_unlink_1_0.90,575,66490,5195,18313,71628,848,17522,23507,0,0,23469,18370,0,0,18370
temp_unlink_2_0.10,575,66381,0,23617,71510,0,18488,23617,0,0,23595,18488,0,0,18487
temp_unlink_2_0.30,575,66130,0,23868,71461,0,18537,23868,0,0,23831,18537,0,0,18535
temp_unlink_2_0.50,575,66156,0,23842,71475,0,18523,23842,0,0,23815,18523,0,0,18518
temp_unlink_2_0.70,575,66327,0,23671,71594,0,18404,23671,0,0,23615,18404,0,0,18401
temp_unlink_2_0.90,575,18855,51824,19319,45485,30344,14169,71143,0,8826,0,44513,0,3901,0
temp_unlink_3_0.10,575,13690,9764,66544,43020,5949,41029,76307,0,69766,0,46978,0,41726,0
temp_unlink_3_0.30,575,13463,24742,51793,42849,15395,31754,76535,0,70085,0,47149,0,42207,0
temp_unlink_3_0.50,575,13525,38781,37692,42686,24017,23295,76473,0,69308,0,47312,0,41631,0
temp_unlink_3_0.70,575,13537,52151,24310,42670,32017,15311,76461,0,68834,0,47328,0,41340,0
temp_unlink_3_0.90,575,13758,66526,9714,42769,41356,5873,76240,0,68345,0,47229,0,41049,0
temp_link_0_0.10,600,13931,12085,63982,41968,392,47638,76067,0,50493,14413,48030,0,1359,46215
temp_link_0_0.30,600,13869,33849,42280,41905,962,47131,76129,0,50718,14375,48093,0,1446,46219
temp_link_0_0.50,600,13765,55634,20599,41880,1524,46594,76233,0,51334,14616,48118,0,1352,46391
temp_link_0_0.70,600,14110,60498,15390,41947,1866,46185,75888,0,50403,14378,48051,0,1443,46165
